code,category,name
110,Wohnen,Wohnen hochwertig
120,Wohnen,Wohnen durchschnittlich
130,Wohnen,Wohnen unterdurchschnittlich
140,Wohnen,Leerstand Wohnen
150,Wohnen,Garage/Technikraum/Wohnhaus
160,Wohnen,Garage/Parkhaus
210,Gastronomie,Gasthaus/Restaurant
220,Gastronomie,Cafe/Konditorei/Eisgeschäft
230,Gastronomie,Bar/Club
240,Gastronomie,Imbißstube/Take-away
250,Gastronomie,Hotel/Pension
260,Gastronomie,Glücksspiel/Wettcafe
270,Gastronomie,Sonstiges
311,Einzelhandel Lebensmittel,Lebensmittel
312,Einzelhandel Lebensmittel,Bio/Vegan-Lebensmittel
313,Einzelhandel Lebensmittel,Bäckerei
314,Einzelhandel Lebensmittel,Trafik
321,Einzelhandel Kleidung/Mode,Bekleidung
322,Einzelhandel Kleidung/Mode,Schuhe
323,Einzelhandel Kleidung/Mode,Sonstiges (Handschuhe, Leder, ...)
331,Einzelhandel Gesundheit/Kinder,Friseur/Beauty/Wellness
332,Einzelhandel Gesundheit/Kinder,Drogerie
334,Einzelhandel Gesundheit/Kinder,Kinderkleidung/-spielsachen/-bedarf
341,Einzelhandel Sport,Bekleidung
342,Einzelhandel Sport,Fahrrad/Sportgeräte
343,Einzelhandel Sport,Fitness/Sport/Training
351,Einzelhandel Kultur,Musik/CD/Vinyl/Musiktechnik/Sound
352,Einzelhandel Kultur,Buchhandlung/Comics
353,Einzelhandel Kultur,Antiquitäten/Antiquariat
371,Weiterer Einzelhandel,Schmuck/Kunsthandwerk
372,Weiterer Einzelhandel,Haushaltsbedarf
373,Weiterer Einzelhandel,Optiker
374,Weiterer Einzelhandel,Blumen
375,Weiterer Einzelhandel,Bastler/Geschenke
376,Weiterer Einzelhandel,Möbel/Interieur
377,Weiterer Einzelhandel,Bürobedarf/Schreibwaren
378,Weiterer Einzelhandel,Elektrohandel
379,Weiterer Einzelhandel,IT/Handy
380,Einzelhandel Sonstige,Sonstige
410,Konsumdienste,Reisebüro
420,Konsumdienste,Änderungsschneiderei/Wäscherei
430,Konsumdienste,Tankstelle/Kfz/Werkstatt/Autohändler
440,Konsumdienste,Copyshop/Druck
450,Konsumdienste,Tattoos/Piercing
460,Konsumdienste,Sonstiges
510,Gewerbliche Dienste,Architektur/Immobilienmakler
520,Gewerbliche Dienste,Design/Grafik
530,Gewerbliche Dienste,Fotografie
540,Gewerbliche Dienste,Tonstudio/Medien
550,Gewerbliche Dienste,Unternehmensberatung
560,Gewerbliche Dienste,IT
570,Gewerbliche Dienste,Banken/Finanz/Versicherung
580,Gewerbliche Dienste,Büro/unternehmensbezogene Dienste
590,Gewerbliche Dienste,Sonstige
610,Produktion,Möbel/Holz
620,Produktion,Kleidung
630,Produktion,Sanitär
640,Produktion,Lager/Depot
650,Produktion,Handwerk
660,Produktion,Sonstiges/Werkstatt
710,Kultur,Kino
720,Kultur,Theater
730,Kultur,Konzerte
740,Kultur,Bibliothek
750,Kultur,Museum
760,Kultur,Galerie
770,Kultur,Kunstvereine
780,Kultur,Interessensvertretung
790,Kultur,Sonstiges
810,öffentliche Einrichtung/Gesundheit,Kirche/Caritas/Diakonie
820,öffentliche Einrichtung/Gesundheit,Verwaltung/Post/Polizei
830,öffentliche Einrichtung/Gesundheit,Schule/Kindergarten/Spielraum
840,öffentliche Einrichtung/Gesundheit,Bildung/Weiterbildung
850,öffentliche Einrichtung/Gesundheit,Apotheke
860,öffentliche Einrichtung/Gesundheit,Physio/Therapie/Labor/Shiatsu
870,öffentliche Einrichtung/Gesundheit,Arzt/Krankenhaus/Tierarzt
880,öffentliche Einrichtung/Gesundheit,Vereine (Sport/Kultur/Pensionisten)
890,öffentliche Einrichtung/Gesundheit,Sonstiges
910,Leerstand Gewerbe/Handel,Zustand hochwertig
920,Leerstand Gewerbe/Handel,Zustand durchschnittlich
930,Leerstand Gewerbe/Handel,Zustand schlecht
940,Leerstand Gewerbe/Handel,Baulücke
950,Leerstand Gewerbe/Handel,Abriss/Baustelle
